word,phonetic,meaning,meaning_full,unit,theme,root,parts,memory,related,example_en,example_zh
incentive,/ɪnˈsentɪv/,n. 激励；刺激；鼓励；动机 adj. 激励的；刺激的,n. 激励；刺激；鼓励；动机 adj. 激励的；刺激的,Unit 03 必考词,自我,sent,in-进入|sent 感觉|-ive 名词/形容词后缀,sent是感觉，in进入，进入感觉的东西→激励、刺激、鼓励，考研核心词。,motivation|stimulus|encouragement|inspire,The company offers many incentives to encourage employees to work harder.,公司提供了许多激励措施来鼓励员工更努力地工作。
incidence,/ˈɪnsɪdəns/,n. 发生率；发病率；发生范围；影响程度,n. 发生率；发病率；发生范围；影响程度,Unit 03 必考词,抽象,cid,in-进入|cid 落下|-ence 名词后缀,cid是落下，in进入，落下的情况→发生率、发病率，考研高频词。,incident|rate|frequency|occurrence,The incidence of this disease has increased sharply in recent years.,近年来这种疾病的发病率大幅上升。
incident,/ˈɪnsɪdənt/,n. 事件；事变；插曲；小事 adj. 伴随的；附带的,n. 事件；事变；插曲；小事 adj. 伴随的；附带的,Unit 03 必考词,抽象,cid,in-进入|cid 落下|-ent 名词/形容词后缀,cid是落下，in进入，落下的事情→事件、事变、插曲，考研核心多义词。,incidence|event|occurrence|happening,This is a very important incident in the history of the country.,这是这个国家历史上非常重要的事件。
incidentally,/ˌɪnsɪˈdentli/,adv. 顺便说一句；附带地；偶然地；不经意地,adv. 顺便说一句；附带地；偶然地；不经意地,Unit 03 必考词,抽象,cid,in-进入|cid 落下|-ental|-ly 副词后缀,incident的副词，顺便说一句、附带地、偶然地，考研高频副词。,by the way|incidentally|accidentally|casually,Incidentally, I saw your brother in the supermarket yesterday.,顺便说一句，我昨天在超市看到你哥哥了。
incline,/ɪnˈklaɪn/ v. /ˈɪnklaɪn/ n.,v. 倾斜；倾向于；赞同；喜爱 n. 斜坡；斜面；倾斜；倾向,v. 倾斜；倾向于；赞同；喜爱 n. 斜坡；斜面；倾斜；倾向,Unit 03 必考词,抽象,clin,in-进入|clin 倾斜|-e 动词/名词后缀,clin是倾斜，in进入，进入倾斜状态→倾斜、倾向于，也指斜坡、斜面，考研核心多义词。,slope|tilt|tend|prefer,She inclines to the opinion that we should start the project as soon as possible.,她倾向于我们应该尽快启动这个项目的观点。
academic,/ˌækəˈdemɪk/,adj. 学术的；理论的；学院的；大学的 n. 学者；大学教师；学术人员,adj. 学术的；理论的；学院的；大学的 n. 学者；大学教师；学术人员,Unit 03 必考词,社会,academ,academ 学院|-ic 形容词/名词后缀,academ是学院，-ic后缀，学院的、学术的，也指学者、大学教师，考研核心多义词。,academy|scholarly|theoretical|scholar,He is a famous academic in the field of physics, he has published many important papers.,他是物理学领域的著名学者，发表了许多重要论文。
academy,/əˈkædəmi/,n. 学院；研究院；学会；专科院校,n. 学院；研究院；学会；专科院校,Unit 03 必考词,社会,academ,academ 学院|-y 名词后缀,核心义为“学院、研究院、学会、专科院校”，考研高频词。,academic|college|institute|school,She graduated from the Academy of Fine Arts last year.,她去年从美术学院毕业了。
accelerate,/əkˈseləreɪt/,v. 加速；加快；促进；使增速,v. 加速；加快；促进；使增速,Unit 03 必考词,抽象,celer,ac-加强|celer 快|-ate 动词后缀,celer是快，ac加强，使更快→加速、加快、促进，考研核心词。,acceleration|speed up|quicken|promote,The car accelerated quickly and overtook the truck in front of it.,汽车迅速加速，超过了前面的卡车。
accept,/əkˈsept/,v. 接受；接纳；同意；认可；承受,v. 接受；接纳；同意；认可；承受,Unit 03 必考词,自我,cept,ac-加强|cept 拿|- 动词后缀,cept是拿，ac加强，拿过来→接受、接纳、同意，考研核心词。,acceptance|receive|admit|agree,She accepted my invitation to the birthday party.,她接受了我的生日派对邀请。
acceptance,/əkˈseptəns/,n. 接受；接纳；同意；认可；承兑,n. 接受；接纳；同意；认可；承兑,Unit 03 必考词,抽象,cept,ac-加强|cept 拿|-ance 名词后缀,accept的名词，接受、接纳、同意、认可，考研高频词。,accept|receipt|admission|agreement,His acceptance of the job offer made his parents very happy.,他接受了这份工作，父母非常高兴。
access,/ˈækses/,n. 通道；入口；使用权；访问权；机会 v. 接近；进入；使用；访问,n. 通道；入口；使用权；访问权；机会 v. 接近；进入；使用；访问,Unit 03 必考词,抽象,cess,ac-加强|cess 走|- 名词/动词后缀,cess是走，ac加强，走进去→通道、入口、使用权，也指接近、进入、访问，考研核心多义词。,entrance|way|use|approach,You need a password to get access to the computer system.,你需要密码才能进入这个计算机系统。
accessory,/əkˈsesəri/,n. 配件；附件；配饰；从犯；同谋 adj. 附属的；附加的；同谋的,n. 配件；附件；配饰；从犯；同谋 adj. 附属的；附加的；同谋的,Unit 03 必考词,抽象,cess,ac-加强|cess 走|-ory 名词/形容词后缀,cess是走，ac加强，跟着走的东西→配件、附件、配饰，也指从犯、同谋，考研核心多义词。,access|attachment|part|accomplice,She bought some beautiful accessories to match her new dress.,她买了一些漂亮的配饰来搭配她的新裙子。
begin,/bɪˈɡɪn/,v. 开始；启动；着手；开创,v. 开始；启动；着手；开创,Unit 03 必考词,抽象,begin,begin 开始；启动,考研高频核心词，核心义为“开始、启动、着手、开创”，过去式began，过去分词begun。,start|commence|initiate|launch,We will begin our new project next Monday.,我们将于下周一启动我们的新项目。
beginning,/bɪˈɡɪnɪŋ/,n. 开始；开端；起点；起源；初期,n. 开始；开端；起点；起源；初期,Unit 03 必考词,抽象,begin,begin 开始|-ning 名词后缀,begin的名词，开始、开端、起点、起源，考研高频词。,begin|start|commencement|origin,This is the beginning of a new chapter in our lives.,这是我们人生新篇章的开始。
behalf,/bɪˈhæf/,n. 代表；利益；方面,n. 代表；利益；方面,Unit 03 必考词,社会,be,be-在|half 边|- 名词后缀,核心义为“代表、利益、方面”，考研高频搭配on behalf of sb/sth。,represent|interest|side|account,She gave a speech on behalf of all the students at the graduation ceremony.,她在毕业典礼上代表所有学生发表了演讲。
behavior,/bɪˈheɪvjər/,n. 行为；举止；表现；态度；反应,n. 行为；举止；表现；态度；反应,Unit 03 必考词,自我,behave,behave 表现|-ior 名词后缀,behave的名词，行为、举止、表现、态度，考研核心词。,behave|conduct|manner|action,His behavior at the party was very rude, everyone was shocked by it.,他在派对上的行为非常粗鲁，所有人都对此感到震惊。
belief,/bɪˈliːf/,n. 相信；信任；信念；信仰；看法,n. 相信；信任；信念；信仰；看法,Unit 03 必考词,自我,believe,believe 相信|-f 名词后缀,believe的名词，相信、信任、信念、信仰，考研核心词。,believe|trust|faith|conviction,She has a strong belief that she will succeed one day.,她坚信自己总有一天会成功。
believe,/bɪˈliːv/,v. 相信；信任；认为；猜想；信仰,v. 相信；信任；认为；猜想；信仰,Unit 03 必考词,自我,believe,believe 相信；信任,考研高频核心词，核心义为“相信、信任、认为、信仰”，过去式believed，过去分词believed。,belief|trust|faith|think,I believe that he is telling the truth, he has never lied to me before.,我相信他说的是实话，他以前从来没有骗过我。
belong,/bɪˈlɔːŋ/,v. 属于；归属；应归入；适应；合得来,v. 属于；归属；应归入；适应；合得来,Unit 03 必考词,抽象,long,be-加强|long 长|- 动词后缀,核心义为“属于、归属、应归入”，考研高频搭配belong to sb/sth。,belongings|own|pertain|fit in,This book belongs to me, I wrote my name on the first page.,这本书是我的，我在第一页写了我的名字。
beneficial,/ˌbenɪˈfɪʃl/,adj. 有利的；有益的；有帮助的；造福的,adj. 有利的；有益的；有帮助的；造福的,Unit 03 必考词,抽象,benefit,benefit 好处|-icial 形容词后缀,benefit的形容词，有利的、有益的、有帮助的，考研高频词。,benefit|advantageous|helpful|good for,Regular exercise is very beneficial to our health.,经常锻炼对我们的健康非常有益。
benefit,/ˈbenɪfɪt/,n. 利益；好处；益处；救济金；保险金 v. 有益于；对…有好处；受益；得到好处,n. 利益；好处；益处；救济金；保险金 v. 有益于；对…有好处；受益；得到好处,Unit 03 必考词,抽象,benefit,benefit 好处；利益,核心义为“利益、好处、益处”，也指有益于、受益，考研核心多义词。,beneficial|advantage|profit|gain,We can benefit a lot from reading books every day.,我们每天读书可以受益良多。
benevolent,/bəˈnevələnt/,adj. 仁慈的；慈善的；善意的；乐善好施的,adj. 仁慈的；慈善的；善意的；乐善好施的,Unit 03 必考词,自我,vol,ben-好|vol 意愿|-ent 形容词后缀,vol是意愿，ben好，有好的意愿的→仁慈的、慈善的、善意的，考研高频词。,kind|charitable|generous|benign,She is a very benevolent woman, she always helps the poor people in the community.,她是个非常仁慈的女人，总是帮助社区里的穷人。
benign,/bɪˈnaɪn/,adj. 良性的；无害的；仁慈的；温和的；吉利的,adj. 良性的；无害的；仁慈的；温和的；吉利的,Unit 03 必考词,抽象,ben,ben-好|ign 出生|- 形容词后缀,ben是好，ign出生，生来好的→良性的、无害的、仁慈的、温和的，考研高频词。,benevolent|kind|gentle|harmless,The doctor said that the tumor is benign, there is no need to worry too much.,医生说这个肿瘤是良性的，不用太担心。
challenge,/ˈtʃælɪndʒ/,n. 挑战；艰巨任务；质疑；考验 v. 挑战；质疑；考验；向…发起挑战,n. 挑战；艰巨任务；质疑；考验 v. 挑战；质疑；考验；向…发起挑战,Unit 03 必考词,自我,chall,chall 喊|-enge 名词/动词后缀,核心义为“挑战、艰巨任务、质疑”，也指挑战、质疑、考验，考研核心多义词。,dare|defy|test|difficulty,This is a very difficult challenge, but I believe I can complete it.,这是一个非常艰巨的挑战，但我相信我能完成它。
chance,/tʃæns/,n. 机会；机遇；可能性；运气；偶然 v. 偶然发生；碰巧；冒险,n. 机会；机遇；可能性；运气；偶然 v. 偶然发生；碰巧；冒险,Unit 03 必考词,抽象,chance,chance 机会；机遇,核心义为“机会、机遇、可能性”，也指偶然发生、冒险，考研核心多义词。,opportunity|possibility|luck|happen,This is a good chance for you to improve your English speaking skills.,这是你提高英语口语能力的好机会。
change,/tʃeɪndʒ/,v. 改变；变化；更换；交换；转变 n. 改变；变化；更换；零钱,v. 改变；变化；更换；交换；转变 n. 改变；变化；更换；零钱,Unit 03 必考词,抽象,change,change 改变；变化,考研高频核心词，核心义为“改变、变化、更换、交换”，也指零钱，过去式changed，过去分词changed。,alter|vary|transform|shift,She changed her hairstyle yesterday, she looks very different now.,她昨天换了发型，现在看起来完全不一样了。
channel,/ˈtʃænl/,n. 频道；渠道；通道；海峡；航道 v. 引导；开导；输送；开辟渠道,n. 频道；渠道；通道；海峡；航道 v. 引导；开导；输送；开辟渠道,Unit 03 必考词,抽象,channel,channel 渠道；通道,核心义为“频道、渠道、通道、海峡”，也指引导、输送，考研核心多义词。,way|path|route|guide,You can watch this movie on the movie channel tonight.,今晚你可以在电影频道看这部电影。
character,/ˈkærəktər/,n. 性格；品质；特征；特点；角色；人物；字符,n. 性格；品质；特征；特点；角色；人物；字符,Unit 03 必考词,自我,char,char 雕刻|-acter 名词后缀,char是雕刻，-acter后缀，雕刻出来的东西→性格、品质、特征、特点，也指角色、人物，考研核心多义词。,characteristic|feature|trait|role,He is a man of good character, he is always honest and kind to others.,他是个品格高尚的人，总是对人诚实友善。
characterise,/ˈkærəktəraɪz/,v. 描述…的特征；刻画…的性格；以…为特征；具有…的特点,v. 描述…的特征；刻画…的性格；以…为特征；具有…的特点,Unit 03 必考词,抽象,char,char 雕刻|-acter|-ise 动词后缀,character的动词，描述…的特征、刻画…的性格、以…为特征，考研高频词。,character|describe|depict|feature,This kind of animal is characterised by its long neck and big ears.,这种动物的特点是长脖子和大耳朵。
characteristic,/ˌkærəktəˈrɪstɪk/,adj. 典型的；特有的；表示特性的 n. 特征；特点；特性；品质,adj. 典型的；特有的；表示特性的 n. 特征；特点；特性；品质,Unit 03 必考词,抽象,char,char 雕刻|-acter|-istic 形容词/名词后缀,character的形容词/名词，典型的、特有的，也指特征、特点、特性，考研核心多义词。,character|feature|trait|typical,One of the most important characteristics of a good leader is the ability to make decisions quickly.,一个好领导最重要的特点之一就是快速做决定的能力。
defend,/dɪˈfend/,v. 防御；保卫；保护；辩护；辩解,v. 防御；保卫；保护；辩护；辩解,Unit 03 必考词,社会,fend,de-加强|fend 打击|- 动词后缀,fend是打击，de加强，打击来犯者→防御、保卫、保护，也指辩护、辩解，考研核心词。,defense|protect|guard|justify,We need to defend our country against any possible attacks.,我们需要保卫我们的国家，抵御任何可能的攻击。
definition,/ˌdefɪˈnɪʃn/,n. 定义；释义；清晰度；明确性,n. 定义；释义；清晰度；明确性,Unit 03 必考词,抽象,fin,de-加强|fin 界限|-ition 名词后缀,fin是界限，de加强，确定界限→定义、释义，也指清晰度、明确性，考研高频词。,define|meaning|explanation|clarity,Can you give me a clear definition of this word?,你能给我这个词一个清晰的定义吗？
definite,/ˈdefɪnət/,adj. 明确的；确定的；肯定的；清晰的；限定的,adj. 明确的；确定的；肯定的；清晰的；限定的,Unit 03 必考词,抽象,fin,de-加强|fin 界限|-ite 形容词后缀,fin是界限，de加强，有明确界限的→明确的、确定的、肯定的，考研高频词。,definition|certain|fixed|clear,We need to set a definite date for our meeting next week.,我们需要为下周的会议确定一个明确的日期。
defy,/dɪˈfaɪ/,v. 违抗；反抗；蔑视；挑战；经受住,v. 违抗；反抗；蔑视；挑战；经受住,Unit 03 必考词,社会,fid,de-加强|fid 信任|- 动词后缀,fid是信任，de加强，不相信、不服从→违抗、反抗、蔑视、挑战，考研高频词。,defy|challenge|dare|resist,He defied his parents' wishes and chose to study art instead of medicine.,他违背了父母的意愿，选择了学习艺术而不是医学。
degree,/dɪˈɡriː/,n. 程度；等级；学位；度数；阶层,n. 程度；等级；学位；度数；阶层,Unit 03 必考词,抽象,grad,de-加强|grad 步|-ee 名词后缀,grad是步，de加强，一步步的等级→程度、等级、学位、度数，考研核心多义词。,level|grade|rank|extent,She has a master's degree in English literature from this university.,她拥有这所大学的英国文学硕士学位。
delay,/dɪˈleɪ/,v. 延迟；拖延；推迟；耽搁 n. 延迟；拖延；推迟；耽搁,v. 延迟；拖延；推迟；耽搁 n. 延迟；拖延；推迟；耽搁,Unit 03 必考词,抽象,lay,de-向下|lay 放|- 动词/名词后缀,lay是放，de向下，放下来不往前走→延迟、拖延、推迟，也指耽搁，考研核心多义词。,postpone|put off|hold up|wait,We decided to delay the meeting until next Friday because many people couldn't come this week.,因为很多人这周来不了，我们决定把会议推迟到下周五。
deliberate,/dɪˈlɪbərət/ adj. /dɪˈlɪbəreɪt/ v.,adj. 故意的；蓄意的；深思熟虑的；谨慎的 v. 仔细考虑；商议；研讨,adj. 故意的；蓄意的；深思熟虑的；谨慎的 v. 仔细考虑；商议；研讨,Unit 03 必考词,抽象,liber,de-加强|liber 平衡|-ate 形容词/动词后缀,liber是平衡，de加强，保持平衡的→深思熟虑的、谨慎的，也指故意的、蓄意的，还可作动词表仔细考虑、商议，考研核心多义词。,intentional|planned|careful|consider,He made a deliberate decision to quit his job and start his own business.,他深思熟虑后决定辞职，自己创业。
delicate,/ˈdelɪkət/,adj. 精美的；精致的；脆弱的；易碎的；微妙的；棘手的,adj. 精美的；精致的；脆弱的；易碎的；微妙的；棘手的,Unit 03 必考词,抽象,lic,de-加强|lic 吸引|-ate 形容词后缀,lic是吸引，de加强，非常吸引人的→精美的、精致的，也指脆弱的、易碎的、微妙的，考研高频词。,fine|exquisite|fragile|sensitive,She bought a very delicate vase for her mother's birthday.,她为妈妈的生日买了一个非常精致的花瓶。
deliver,/dɪˈlɪvər/,v. 递送；传送；交付；发表；宣布；接生；给予,v. 递送；传送；交付；发表；宣布；接生；给予,Unit 03 必考词,社会,liver,de-加强|liver 自由|- 动词后缀,liver是自由，de加强，使自由到达→递送、传送、交付，也指发表、宣布、接生，考研核心多义词。,delivery|send|transport|give,The postman delivers letters and packages to our house every day.,邮递员每天都给我们家送信和包裹。
delivery,/dɪˈlɪvəri/,n. 递送；传送；交付；分娩；演讲；表演,n. 递送；传送；交付；分娩；演讲；表演,Unit 03 必考词,社会,liver,de-加强|liver 自由|-ery 名词后缀,deliver的名词，递送、传送、交付、分娩，也指演讲、表演，考研高频词。,deliver|send|transport|childbirth,We offer free delivery for all orders over $100.,所有订单满100美元我们都提供免费配送。
fiction,/ˈfɪkʃn/,n. 小说；虚构的事；假想；杜撰,n. 小说；虚构的事；假想；杜撰,Unit 03 必考词,抽象,fict,fict 做|-ion 名词后缀,fict是做，-ion名词，做出来的故事→小说、虚构的事、假想，考研高频词。,novel|story|tale|fantasy,She likes reading fiction books in her free time, especially science fiction.,她空闲时间喜欢读小说，尤其是科幻小说。
field,/fiːld/,n. 田野；场地；领域；范围；专业；实地 adj. 实地的；现场的 v. 处理；应对；接球,n. 田野；场地；领域；范围；专业；实地 adj. 实地的；现场的 v. 处理；应对；接球,Unit 03 必考词,抽象,field,field 田野；领域,核心义为“田野、场地、领域、范围、专业”，也指实地的、处理、应对，考研核心多义词。,area|domain|branch|range,He is a famous expert in the field of artificial intelligence.,他是人工智能领域的著名专家。
fierce,/fɪrs/,adj. 凶猛的；凶狠的；激烈的；猛烈的；狂热的,adj. 凶猛的；凶狠的；激烈的；猛烈的；狂热的,Unit 03 必考词,情感,fierc,fierc 野|-e 形容词后缀,核心义为“凶猛的、凶狠的、激烈的、猛烈的”，考研高频词。,wild|violent|intense|passionate,The lion is a very fierce animal, it is the king of the forest.,狮子是一种非常凶猛的动物，是森林之王。
fight,/faɪt/,v. 打架；战斗；搏斗；争吵；反对；抗争 n. 打架；战斗；搏斗；争吵；斗争,v. 打架；战斗；搏斗；争吵；反对；抗争 n. 打架；战斗；搏斗；争吵；斗争,Unit 03 必考词,社会,fight,fight 打架；战斗,考研高频核心词，核心义为“打架、战斗、搏斗、争吵、反对、抗争”，过去式fought，过去分词fought。,battle|combat|struggle|argue,They fought against the enemy for three days and finally won the battle.,他们和敌人战斗了三天，最终赢得了这场战役。
figure,/ˈfɪɡjər/,n. 数字；数量；人物；身材；图形；画像 v. 计算；认为；估计；描绘；象征,n. 数字；数量；人物；身材；图形；画像 v. 计算；认为；估计；描绘；象征,Unit 03 必考词,抽象,fig,fig 做|-ure 名词/动词后缀,fig是做，-ure后缀，做出来的东西→数字、数量、人物、身材、图形，也指计算、认为、估计，考研核心多义词。,number|digit|person|calculate,She has a very good figure, she exercises every day to keep fit.,她的身材非常好，每天都锻炼保持健康。
finance,/ˈfaɪnæns/,n. 财政；金融；财务；资金 v. 为…提供资金；资助；理财,n. 财政；金融；财务；资金 v. 为…提供资金；资助；理财,Unit 03 必考词,社会,fin,fin 结束|-ance 名词/动词后缀,fin是结束，-ance后缀，结束债务的东西→财政、金融、财务、资金，也指为…提供资金、资助，考研核心多义词。,financial|money|fund|budget,He works in the finance department of a large company.,他在一家大公司的财务部工作。
financial,/faɪˈnænʃl/,adj. 财政的；金融的；财务的；资金的,adj. 财政的；金融的；财务的；资金的,Unit 03 必考词,社会,fin,fin 结束|-ancial 形容词后缀,finance的形容词，财政的、金融的、财务的、资金的，考研高频词。,finance|monetary|economic|budgetary,We need to improve our financial situation before we buy a new house.,我们需要在买新房子之前改善我们的财务状况。
finding,/ˈfaɪndɪŋ/,n. 发现；发现物；调查结果；研究结果 adj. 发现的；有发现的,n. 发现；发现物；调查结果；研究结果 adj. 发现的；有发现的,Unit 03 必考词,抽象,find,find 发现|-ing 名词/形容词后缀,find的名词，发现、发现物、调查结果、研究结果，考研高频词。,find|discovery|result|conclusion,One of the most important findings of the research is that this drug can cure the disease.,这项研究最重要的发现之一是这种药可以治愈这种疾病。
finite,/ˈfaɪnaɪt/,adj. 有限的；限定的；有尽的；有穷的,adj. 有限的；限定的；有尽的；有穷的,Unit 03 必考词,抽象,fin,fin 结束|-ite 形容词后缀,fin是结束，-ite后缀，有结束的→有限的、限定的、有尽的，考研高频词。,limited|restricted|bounded|definite,We have a finite amount of time to finish this project, we need to hurry up.,我们完成这个项目的时间有限，需要抓紧时间。
firm,/fɜːrm/,adj. 坚固的；结实的；坚定的；坚决的；稳固的 n. 公司；企业；事务所 v. 使坚固；使坚定；变稳固,adj. 坚固的；结实的；坚定的；坚决的；稳固的 n. 公司；企业；事务所 v. 使坚固；使坚定；变稳固,Unit 03 必考词,抽象,firm,firm 坚固；坚定,核心义为“坚固的、结实的、坚定的、坚决的”，也指公司、企业、事务所，还可作动词表使坚固、使坚定，考研核心多义词。,solid|hard|steadfast|company,This table is very firm, it can hold a lot of weight.,这张桌子非常结实，能承受很大的重量。
first,/fɜːrst/,adj. 第一的；最初的；最早的；首要的 adv. 第一；首先；最初；首次 n. 第一；第一个；首次,adj. 第一的；最初的；最早的；首要的 adv. 第一；首先；最初；首次 n. 第一；第一个；首次,Unit 03 必考词,抽象,first,first 第一；首先,考研高频核心词，核心义为“第一的、最初的、最早的、首要的”，也可作副词表第一、首先，还可作名词表第一、第一个。,primary|initial|earliest|foremost,He was the first person to arrive at the meeting this morning.,他是今天早上第一个到会场的人。
fit,/fɪt/,adj. 适合的；合适的；健康的；强健的；恰当的 v. 适合；合适；合身；安装；使适应 n. 适合；合身；发作,adj. 适合的；合适的；健康的；强健的；恰当的 v. 适合；合适；合身；安装；使适应 n. 适合；合身；发作,Unit 03 必考词,自我,fit,fit 适合；合适,核心义为“适合的、合适的、健康的、强健的”，也指适合、合适、合身、安装，还可作名词表适合、合身，考研核心多义词。,suit|fitness|healthy|adapt,This dress fits you very well, it looks very beautiful on you.,这条裙子非常适合你，你穿起来很漂亮。
global,/ˈɡloʊbl/,adj. 全球的；全世界的；整体的；全面的；球形的,adj. 全球的；全世界的；整体的；全面的；球形的,Unit 03 必考词,抽象,globe,globe 地球|-al 形容词后缀,globe的形容词，全球的、全世界的、整体的、全面的，考研高频词。,globe|worldwide|international|universal,Climate change is a global problem that needs to be solved by all countries together.,气候变化是一个需要所有国家共同解决的全球性问题。
globe,/ɡloʊb/,n. 地球；世界；地球仪；球体；球状物,n. 地球；世界；地球仪；球体；球状物,Unit 03 必考词,抽象,globe,globe 地球；球体,核心义为“地球、世界、地球仪、球体”，考研高频词。,global|earth|world|sphere,We have a globe in our classroom, we can see all the countries on it.,我们教室里有一个地球仪，我们可以在上面看到所有的国家。
abandon,/əˈbændən/,v. 抛弃；遗弃；放弃；中止；放纵 n. 放纵；放任,v. 抛弃；遗弃；放弃；中止；放纵 n. 放纵；放任,Unit 04 必考词,社会,band,ab-加强|band 命令|-on 动词/名词后缀,band是命令，ab加强，脱离命令→抛弃、遗弃、放弃，也指放纵、放任，考研核心词。,abandonment|desert|forsake|discard,The cruel man abandoned his wife and children and left home forever.,这个狠心的男人抛弃了妻子和孩子，永远离开了家。
abide,/əˈbaɪd/,v. 遵守；遵循；忍受；容忍；停留,v. 遵守；遵循；忍受；容忍；停留,Unit 04 必考词,社会,bide,ab-加强|bide 停留|- 动词后缀,bide是停留，ab加强，停留在规则内→遵守、遵循，也指忍受、容忍，考研高频词。,abide by|obey|comply|tolerate,Everyone must abide by the traffic rules when driving on the road.,每个人在路上开车都必须遵守交通规则。
able,/ˈeɪbl/,adj. 能够的；有能力的；能干的；有才华的,adj. 能够的；有能力的；能干的；有才华的,Unit 04 必考词,自我,able,able 能够；有能力的,考研高频核心词，核心义为“能够的、有能力的、能干的”，搭配be able to do sth。,ability|capable|competent|skilled,She is able to speak three foreign languages fluently.,她能流利地说三门外语。
abnormal,/æbˈnɔːrml/,adj. 反常的；异常的；变态的；不规则的,adj. 反常的；异常的；变态的；不规则的,Unit 04 必考词,抽象,norm,ab-相反|norm 正常|-al 形容词后缀,norm是正常，ab相反，不正常的→反常的、异常的、变态的，考研高频词。,normal|unusual|irregular|odd,The test results showed abnormal values, we need to do more tests.,测试结果显示数值异常，我们需要做更多的测试。
aboard,/əˈbɔːrd/,adv. 在船上；在飞机上；在火车上；在公共交通工具上 prep. 在…上；上（船、飞机、火车等）,adv. 在船上；在飞机上；在火车上；在公共交通工具上 prep. 在…上；上（船、飞机、火车等）,Unit 04 必考词,抽象,board,a-在|board 板|- 副词/介词,board是板，a在，在板上→在船上、在飞机上、在火车上，也可作介词表在…上、上（交通工具），考研高频词。,on board|on the ship/plane/train|embark,We went aboard the plane at 8 o'clock in the morning.,我们早上8点登上了飞机。
background,/ˈbækɡraʊnd/,n. 背景；底色；背景资料；经历；出身 adj. 背景的；幕后的,n. 背景；底色；背景资料；经历；出身 adj. 背景的；幕后的,Unit 04 必考词,抽象,back,back 后面|ground 地面,核心义为“背景、底色、背景资料、经历、出身”，也指背景的、幕后的，考研高频词。,backdrop|setting|history|experience,She has a very strong academic background, she has studied in three famous universities.,她有非常强的学术背景，曾在三所著名大学学习。
balance,/ˈbæləns/,n. 平衡；均衡；天平；秤；结余；余额 v. 使平衡；使均衡；权衡；考虑；结算,n. 平衡；均衡；天平；秤；结余；余额 v. 使平衡；使均衡；权衡；考虑；结算,Unit 04 必考词,抽象,bal,bal 平衡|-ance 名词/动词后缀,bal是平衡，-ance后缀，平衡的状态→平衡、均衡、天平、秤，也指使平衡、使均衡、权衡，考研核心多义词。,equilibrium|stability|weigh|consider,You need to balance the advantages and disadvantages before you make a decision.,你在做决定之前需要权衡利弊。
base,/beɪs/,n. 基础；底部；基地；总部；基数 adj. 卑鄙的；低劣的；基础的；基本的 v. 以…为基础；基于；把…建立在,n. 基础；底部；基地；总部；基数 adj. 卑鄙的；低劣的；基础的；基本的 v. 以…为基础；基于；把…建立在,Unit 04 必考词,抽象,base,base 基础；底部,核心义为“基础、底部、基地、总部、基数”，也指基础的、基本的，还可作动词表以…为基础、基于，考研核心多义词。,basis|bottom|foundation|establish,We should base our conclusion on the facts we have collected.,我们的结论应该基于我们收集到的事实。
basement,/ˈbeɪsmənt/,n. 地下室；地窖；底层,n. 地下室；地窖；底层,Unit 04 必考词,抽象,base,base 底部|-ment 名词后缀,base的名词，底部的房间→地下室、地窖、底层，考研高频词。,base|cellar|underground|ground floor,We store our old furniture in the basement of our house.,我们把旧家具存放在房子的地下室里。
basic,/ˈbeɪsɪk/,adj. 基本的；基础的；根本的；初级的；最简单的 n. 基础；基本原理；基本原则,adj. 基本的；基础的；根本的；初级的；最简单的 n. 基础；基本原理；基本原则,Unit 04 必考词,抽象,base,base 基础|-ic 形容词/名词后缀,base的形容词，基本的、基础的、根本的、初级的，也指基础、基本原理，考研核心多义词。,base|fundamental|elementary|primary,We need to learn the basic rules of English grammar first before we learn more complex things.,在学习更复杂的内容之前，我们需要先学习英语语法的基本规则。
